Date,Country,Status,AQI Value
2023-04-20,Bulgaria,Good,19
2023-04-20,Burkina Faso,Hazardous,309
2023-04-20,Cambodia,Moderate,84
2023-04-20,Canada,Good,37
2023-04-20,Cape Verde,Good,13
2023-04-20,Cayman Islands,Good,26
2023-04-20,Central African Republic,Unhealthy,191
2023-04-20,Chad,Hazardous,420
2023-04-20,Chile,Unhealthy for Sensitive Groups,134
2023-04-20,China,Hazardous,963
2023-04-20,Colombia,Moderate,76
2023-04-20,Costa Rica,Good,41
2023-04-20,Croatia,Good,49
2023-04-20,Cyprus,Good,41
2023-04-20,Czech Republic,Moderate,88
2023-04-20,Denmark,Good,30
2023-04-20,Dominican Republic,Good,34
2023-04-20,Ecuador,Good,48
2023-04-20,Egypt,Good,46
2023-04-20,El Salvador,Unhealthy for Sensitive Groups,131
2023-04-20,Estonia,Good,26
2023-04-20,Ethiopia,Unhealthy for Sensitive Groups,104
2023-04-20,Finland,Moderate,91
2023-04-20,France,Moderate,57
2023-04-20,French Guiana,Good,23
2023-04-20,Gabon,Unhealthy for Sensitive Groups,130
2023-04-20,Georgia,Moderate,72
2023-04-20,Germany,Moderate,70
2023-04-20,Ghana,Unhealthy for Sensitive Groups,103
2023-04-20,Gibraltar,Good,39
2023-04-20,Greece,Good,45
2023-04-20,Grenada,Good,17
2023-04-20,Guadeloupe,Good,22
2023-04-20,Guam,Good,15
2023-04-20,Guatemala,Unhealthy for Sensitive Groups,125
2023-04-20,Honduras,Unhealthy,178
2023-04-20,Hong Kong,Moderate,76
2023-04-20,Iceland,Good,28
2023-04-20,India,Very Unhealthy,235
2023-04-20,Indonesia,Moderate,68
2023-04-20,Iran,Unhealthy for Sensitive Groups,120
2023-04-20,Iraq,Unhealthy,154
2023-04-20,Ireland,Moderate,62
2023-04-20,Israel,Moderate,88
2023-04-20,Italy,Moderate,61
2023-04-20,Ivory Coast,Unhealthy for Sensitive Groups,104
2023-04-20,Japan,Unhealthy for Sensitive Groups,131
2023-04-20,Jersey,Unhealthy for Sensitive Groups,105
2023-04-20,Jordan,Good,33
2023-04-20,Kazakhstan,Moderate,90
2023-04-20,Kenya,Moderate,53
2023-04-20,Kosovo,Moderate,52
2023-04-20,Kuwait,Unhealthy for Sensitive Groups,121
2023-04-20,Kyrgyzstan,Moderate,88
2023-04-20,Laos,Unhealthy,169
2023-04-20,Latvia,Good,34
2023-04-20,Lebanon,Moderate,91
2023-04-20,Liberia,Moderate,79
2023-04-20,Liechtenstein,Good,10
2023-04-20,Lithuania,Good,32
2023-04-20,Luxembourg,Good,42
2023-04-20,Macao,Unhealthy for Sensitive Groups,144
2023-04-20,Macedonia,Moderate,57
2023-04-20,Madagascar,Good,48
2023-04-20,Malaysia,Moderate,87
2023-04-20,Malta,Good,35
2023-04-20,Martinique,Good,38
2023-04-20,Mexico,Unhealthy for Sensitive Groups,131
2023-04-20,Moldova,Good,26
2023-04-20,Monaco,Good,34
2023-04-20,Mongolia,Moderate,68
2023-04-20,Montenegro,Good,50
2023-04-20,Myanmar,Unhealthy,175
2023-04-20,Nepal,Unhealthy,172
2023-04-20,Netherlands,Good,34
2023-04-20,New Caledonia,Good,12
2023-04-20,New Zealand,Good,33
2023-04-20,Nigeria,Unhealthy for Sensitive Groups,104
2023-04-20,Norway,Moderate,67
2023-04-20,Pakistan,Good,47
2023-04-20,Palestinian Territory,Good,49
2023-04-20,Peru,Moderate,61
2023-04-20,Philippines,Good,47
2023-04-20,Poland,Moderate,85
2023-04-20,Portugal,Good,35
2023-04-20,Puerto Rico,Good,9
2023-04-20,Qatar,Unhealthy for Sensitive Groups,111
2023-04-20,Reunion,Good,12
2023-04-20,Romania,Unhealthy for Sensitive Groups,106
2023-04-20,Russia,Moderate,76
2023-04-20,San Marino,Good,46
2023-04-20,Saudi Arabia,Moderate,63
2023-04-20,Senegal,Good,29
2023-04-20,Serbia,Moderate,99
2023-04-20,Singapore,Moderate,51
2023-04-20,Slovakia,Moderate,61
2023-04-20,Slovenia,Good,41
2023-04-20,South Africa,Unhealthy,155
2023-04-20,South Korea,Moderate,96
2023-04-20,Spain,Moderate,71
2023-04-20,Sri Lanka,Moderate,78
2023-04-20,Sudan,Unhealthy for Sensitive Groups,124
2023-04-20,Sweden,Unhealthy for Sensitive Groups,122
2023-04-20,Switzerland,Good,28
2023-04-20,Taiwan,Moderate,61
2023-04-20,Tajikistan,Moderate,93
2023-04-20,Thailand,Unhealthy,196
2023-04-20,Togo,Unhealthy for Sensitive Groups,104
2023-04-20,Trinidad and Tobago,Good,40
2023-04-20,Turkey,Moderate,96
2023-04-20,Turkmenistan,Moderate,68
